,Name,Political Affiliation at Appointment,Province / Territory,Appointed on the advice of,Term (yyyy.mm.dd),start_date,end_date,reason,diff_days,observed
140,"Cantley, Thomas",Conservative (1867-1942),Nova Scotia,"Bennett, Richard Bedford",1935.07.20 - 1945.02.24  (Death),1935-07-20 00:00:00,1945-02-24 00:00:00,Death,3507,True
141,"Carignan, Claude",Conservative Party of Canada,Quebec,"Harper, Stephen",2009.08.27 -,2009-08-27 00:00:00,2013-10-01 22:20:10.165196,,1496,False
142,"Carling, John",Liberal-Conservative,Ontario,"Macdonald, John Alexander",1891.04.27 - 1892.02.17  (Resignation),1891-04-27 00:00:00,1892-02-17 00:00:00,Resignation,296,True
143,"Carling, John",Liberal-Conservative,Ontario,"Bowell, Mackenzie",1896.04.23 - 1911.11.06  (Death),1896-04-23 00:00:00,1911-11-06 00:00:00,Death,5674,True
144,"Carmichael, James William",Liberal Party of Canada,Nova Scotia,"Laurier, Wilfrid",1898.12.31 - 1903.04.24  (Resignation),1898-12-31 00:00:00,1903-04-24 00:00:00,Resignation,1574,True
145,"Carney, Pat",Progressive Conservative Party,British Columbia,"Mulroney, Martin Brian",1990.08.30 - 2008.01.31  (Resignation),1990-08-30 00:00:00,2008-01-31 00:00:00,Resignation,6363,True
146,"Carrall, Robert William Weir",Conservative (1867-1942),British Columbia,"Macdonald, John Alexander",1871.12.13 - 1879.09.19  (Death),1871-12-13 00:00:00,1879-09-19 00:00:00,Death,2837,True
147,"Carstairs, Sharon",Liberal Party of Canada,Manitoba,"Chrétien, Joseph Jacques Jean",1994.09.15 - 2011.10.17  (Resignation),1994-09-15 00:00:00,2011-10-17 00:00:00,Resignation,6241,True
148,"Carter, Chesley William",Liberal Party of Canada,Newfoundland and Labrador,"Pearson, Lester Bowles",1966.07.08 - 1977.07.28  (Retirement),1966-07-08 00:00:00,1977-07-28 00:00:00,Retirement,4038,True
149,"Cartwright, Richard John",Liberal Party of Canada,Ontario,"Laurier, Wilfrid",1904.09.30 - 1912.09.24  (Death),1904-09-30 00:00:00,1912-09-24 00:00:00,Death,2916,True
150,"Carvell, Jedediah Slason",Conservative (1867-1942),Prince Edward Island,"Macdonald, John Alexander",1879.12.18 - 1889.07.03  (Resignation),1879-12-18 00:00:00,1889-07-03 00:00:00,Resignation,3485,True
151,"Casgrain, Charles Eusèbe",Conservative (1867-1942),Ontario,"Macdonald, John Alexander",1887.01.12 - 1907.03.08  (Death),1887-01-12 00:00:00,1907-03-08 00:00:00,Death,7359,True
152,"Casgrain, Joseph Philippe Baby",Liberal Party of Canada,Quebec,"Laurier, Wilfrid",1900.01.29 - 1939.01.06  (Death),1900-01-29 00:00:00,1939-01-06 00:00:00,Death,14221,True
153,"Casgrain, Thérèse Forget",Independent,Quebec,"Trudeau, Pierre Elliott",1970.10.07 - 1971.07.10  (Retirement),1970-10-07 00:00:00,1971-07-10 00:00:00,Retirement,276,True
154,"Castonguay, Claude",Progressive Conservative Party,Quebec,"Mulroney, Martin Brian",1990.09.23 - 1992.12.09  (Resignation),1990-09-23 00:00:00,1992-12-09 00:00:00,Resignation,808,True
155,"Cauchon, Joseph Édouard",Independent Conservative,Quebec,Royal Proclamation,1867.11.02 - 1872.06.30  (Resignation),1867-11-02 00:00:00,1872-06-30 00:00:00,Resignation,1702,True
156,"Chaffers, William Henry",Liberal Party of Canada,Quebec,Royal Proclamation,1867.10.23 - 1894.07.19  (Death),1867-10-23 00:00:00,1894-07-19 00:00:00,Death,9766,True
157,"Chalifoux, Thelma",Liberal Party of Canada,Alberta,"Chrétien, Joseph Jacques Jean",1997.11.26 - 2004.02.08  (Retirement),1997-11-26 00:00:00,2004-02-08 00:00:00,Retirement,2265,True
158,"Champagne, Andrée",Conservative Party of Canada,Quebec,"Martin, Paul Edgar Philippe",2005.08.02 -,2005-08-02 00:00:00,2013-10-01 22:20:10.165196,,2982,False
159,"Chandler, Edward Barron",Liberal-Conservative,New Brunswick,Royal Proclamation,1867.10.23 - 1867.10.23  (Appointment declined),1867-10-23 00:00:00,1867-10-23 00:00:00,Appointment declined,0,True
160,"Chapais, Jean-Charles",Conservative (1867-1942),Quebec,"Macdonald, John Alexander",1868.01.30 - 1885.07.17  (Death),1868-01-30 00:00:00,1885-07-17 00:00:00,Death,6378,True
161,"Chapais, Joseph Amable Thomas",Conservative (1867-1942),Quebec,"Borden, Robert Laird",1919.12.31 - 1946.07.15  (Death),1919-12-31 00:00:00,1946-07-15 00:00:00,Death,9693,True
162,"Chaput, Maria",Liberal Party of Canada,Manitoba,"Chrétien, Joseph Jacques Jean",2002.12.12 -,2002-12-12 00:00:00,2013-10-01 22:20:10.165196,,3946,False
163,"Chaput-Rolland, Solange",Progressive Conservative Party,Quebec,"Mulroney, Martin Brian",1988.09.26 - 1994.05.14  (Retirement),1988-09-26 00:00:00,1994-05-14 00:00:00,Retirement,2056,True
164,"Charbonneau, Guy",Progressive Conservative Party,Quebec,"Clark, Charles Joseph",1979.09.27 - 1997.06.21  (Retirement),1979-09-27 00:00:00,1997-06-21 00:00:00,Retirement,6477,True
165,"Charette-Poulin, Marie-P.",Liberal Party of Canada,Ontario,"Chrétien, Joseph Jacques Jean",1995.09.21 -,1995-09-21 00:00:00,2013-10-01 22:20:10.165196,,6585,False
166,"Chauveau, Pierre-Joseph-Olivier",Conservative (1867-1942),Quebec,"Macdonald, John Alexander",1873.02.20 - 1874.01.08  (Resignation),1873-02-20 00:00:00,1874-01-08 00:00:00,Resignation,322,True
167,"Chevrier, Noé E.",Liberal Party of Canada,Manitoba,"Laurier, Wilfrid",1909.01.18 - 1911.10.09  (Death),1909-01-18 00:00:00,1911-10-09 00:00:00,Death,994,True
168,"Chinic, Eugène",Conservative (1867-1942),Quebec,"Macdonald, John Alexander",1873.04.10 - 1882.11.03  (Resignation),1873-04-10 00:00:00,1882-11-03 00:00:00,Resignation,3494,True
169,"Choquette, Lionel Henri",Progressive Conservative Party,Ontario,"Diefenbaker, John George",1958.01.31 - 1981.03.06  (Resignation),1958-01-31 00:00:00,1981-03-06 00:00:00,Resignation,8435,True
170,"Choquette, Philippe Auguste",Liberal Party of Canada,Quebec,"Laurier, Wilfrid",1904.09.30 - 1919.12.29  (Resignation),1904-09-30 00:00:00,1919-12-29 00:00:00,Resignation,5568,True
171,"Christensen, Ione",Liberal Party of Canada,Yukon,"Chrétien, Joseph Jacques Jean",1999.09.02 - 2006.12.31  (Resignation),1999-09-02 00:00:00,2006-12-31 00:00:00,Resignation,2677,True
172,"Christie, David",Liberal Party of Canada,Ontario,Royal Proclamation,1867.10.23 - 1880.12.15  (Death),1867-10-23 00:00:00,1880-12-15 00:00:00,Death,4802,True
173,"Church, Charles Edward",Liberal Party of Canada,Nova Scotia,"Laurier, Wilfrid",1902.02.08 - 1906.01.03  (Death),1902-02-08 00:00:00,1906-01-03 00:00:00,Death,1425,True
174,"Churchill, Ezra",Liberal-Conservative,Nova Scotia,"Macdonald, John Alexander",1871.02.03 - 1874.05.08  (Death),1871-02-03 00:00:00,1874-05-08 00:00:00,Death,1190,True
175,"Clemow, Francis",Conservative (1867-1942),Ontario,"Macdonald, John Alexander",1885.02.03 - 1902.05.28  (Death),1885-02-03 00:00:00,1902-05-28 00:00:00,Death,6322,True
176,"Cloran, Henry Joseph",Liberal Party of Canada,Quebec,"Laurier, Wilfrid",1903.06.30 - 1928.02.08  (Death),1903-06-30 00:00:00,1928-02-08 00:00:00,Death,8989,True
177,"Cochrane, Ethel M.",Progressive Conservative Party,Newfoundland and Labrador,"Mulroney, Martin Brian",1986.11.17 - 2012.09.23  (Retirement),1986-11-17 00:00:00,2012-09-23 00:00:00,Retirement,9442,True
178,"Cochrane, Matthew Henry",Conservative (1867-1942),Quebec,"Macdonald, John Alexander",1872.10.17 - 1903.08.12  (Death),1872-10-17 00:00:00,1903-08-12 00:00:00,Death,11255,True
179,"Coffey, Thomas",Liberal Party of Canada,Ontario,"Laurier, Wilfrid",1903.03.12 - 1914.06.08  (Death),1903-03-12 00:00:00,1914-06-08 00:00:00,Death,4106,True
180,"Cogger, Michel",Progressive Conservative Party,Quebec,"Mulroney, Martin Brian",1986.05.02 - 2000.09.01  (Resignation),1986-05-02 00:00:00,2000-09-01 00:00:00,Resignation,5236,True
181,"Cohen, Erminie J.",Progressive Conservative Party,New Brunswick,"Mulroney, Martin Brian",1993.06.04 - 2001.07.23  (Retirement),1993-06-04 00:00:00,2001-07-23 00:00:00,Retirement,2971,True
182,"Comeau, Ambroise-Hilaire",Liberal Party of Canada,Nova Scotia,"Laurier, Wilfrid",1907.01.15 - 1911.08.25  (Death),1907-01-15 00:00:00,1911-08-25 00:00:00,Death,1683,True
183,"Comeau, Gerald J.",Progressive Conservative Party,Nova Scotia,"Mulroney, Martin Brian",1990.08.30 -,1990-08-30 00:00:00,2013-10-01 22:20:10.165196,,8433,False
184,"Comeau, Joseph Willie",Liberal Party of Canada,Nova Scotia,"St-Laurent, Louis Stephen",1948.12.01 - 1966.01.10  (Resignation),1948-12-01 00:00:00,1966-01-10 00:00:00,Resignation,6249,True
185,"Connolly, Harold Joseph",Liberal Party of Canada,Nova Scotia,"St-Laurent, Louis Stephen",1955.07.28 - 1979.05.14  (Resignation),1955-07-28 00:00:00,1979-05-14 00:00:00,Resignation,8691,True
186,"Connolly, John Joseph",Liberal Party of Canada,Ontario,"St-Laurent, Louis Stephen",1953.06.12 - 1981.10.31  (Resignation),1953-06-12 00:00:00,1981-10-31 00:00:00,Resignation,10368,True
187,"Cook, Eric",Liberal Party of Canada,Newfoundland and Labrador,"Pearson, Lester Bowles",1964.02.14 - 1984.07.26  (Resignation),1964-02-14 00:00:00,1984-07-26 00:00:00,Resignation,7468,True
188,"Cook, Joan",Liberal Party of Canada,Newfoundland and Labrador,"Chrétien, Joseph Jacques Jean",1998.03.06 - 2009.10.06  (Retirement),1998-03-06 00:00:00,2009-10-06 00:00:00,Retirement,4232,True
189,"Cools, Anne C.",Liberal Party of Canada,Ontario,"Trudeau, Pierre Elliott",1984.01.13 -,1984-01-13 00:00:00,2013-10-01 22:20:10.165196,,10854,False
190,"Copp, Arthur Bliss",Liberal Party of Canada,New Brunswick,"King, William Lyon Mackenzie",1925.09.25 - 1949.12.05  (Death),1925-09-25 00:00:00,1949-12-05 00:00:00,Death,8837,True
191,"Corbin, Eymard G.",Liberal Party of Canada,New Brunswick,"Turner, John Napier",1984.07.09 - 2009.08.02  (Retirement),1984-07-09 00:00:00,2009-08-02 00:00:00,Retirement,9155,True
192,"Corby, Henry",Conservative (1867-1942),Ontario,"Borden, Robert Laird",1912.10.17 - 1917.04.23  (Death),1912-10-17 00:00:00,1917-04-23 00:00:00,Death,1649,True
193,"Cordy, Jane",Liberal Party of Canada,Nova Scotia,"Chrétien, Joseph Jacques Jean",2000.06.09 -,2000-06-09 00:00:00,2013-10-01 22:20:10.165196,,4862,False
194,"Cormier, Charles",Nationalist Liberal,Quebec,Royal Proclamation,1867.10.23 - 1887.05.07  (Death),1867-10-23 00:00:00,1887-05-07 00:00:00,Death,7136,True
195,"Cornwall, Clement Francis",Conservative (1867-1942),British Columbia,"Macdonald, John Alexander",1871.12.13 - 1881.07.01  (Resignation),1871-12-13 00:00:00,1881-07-01 00:00:00,Resignation,3488,True
196,"Costigan, John",Liberal Party of Canada,New Brunswick,"Laurier, Wilfrid",1907.01.15 - 1916.09.29  (Death),1907-01-15 00:00:00,1916-09-29 00:00:00,Death,3545,True
197,"Côté, Jean Léon",Liberal Party of Canada,Alberta,"King, William Lyon Mackenzie",1923.08.14 - 1924.09.23  (Death),1923-08-14 00:00:00,1924-09-23 00:00:00,Death,406,True
198,"Côté, Joseph Julien Jean-Pierre",Liberal Party of Canada,Quebec,"Trudeau, Pierre Elliott",1972.09.01 - 1978.04.20  (Resignation),1972-09-01 00:00:00,1978-04-20 00:00:00,Resignation,2057,True
199,"Côté, Louis",Conservative (1867-1942),Ontario,"Bennett, Richard Bedford",1933.12.30 - 1943.02.02  (Death),1933-12-30 00:00:00,1943-02-02 00:00:00,Death,3321,True
200,"Cottreau, Ernest G.",Liberal Party of Canada,Nova Scotia,"Trudeau, Pierre Elliott",1974.05.08 - 1989.01.28  (Retirement),1974-05-08 00:00:00,1989-01-28 00:00:00,Retirement,5379,True
201,"Courtemanche, Henri",Progressive Conservative Party,Quebec,"Diefenbaker, John George",1960.01.20 - 1961.12.22  (Resignation),1960-01-20 00:00:00,1961-12-22 00:00:00,Resignation,702,True
202,"Cowan, James S.",Liberal Party of Canada,Nova Scotia,"Martin, Paul Edgar Philippe",2005.03.24 -,2005-03-24 00:00:00,2013-10-01 22:20:10.165196,,3113,False
203,"Cox, George Albertus",Liberal Party of Canada,Ontario,"Laurier, Wilfrid",1896.11.13 - 1914.01.16  (Death),1896-11-13 00:00:00,1914-01-16 00:00:00,Death,6272,True
204,"Crawford, George",Conservative (1867-1942),Ontario,Royal Proclamation,1867.10.23 - 1870.07.04  (Death),1867-10-23 00:00:00,1870-07-04 00:00:00,Death,985,True
205,"Crerar, Thomas Alexander",Liberal Party of Canada,Manitoba,"King, William Lyon Mackenzie",1945.04.18 - 1966.05.31  (Resignation),1945-04-18 00:00:00,1966-05-31 00:00:00,Resignation,7713,True
206,"Croll, David Arnold",Liberal Party of Canada,Ontario,"St-Laurent, Louis Stephen",1955.07.28 - 1991.06.11  (Death),1955-07-28 00:00:00,1991-06-11 00:00:00,Death,13102,True
207,"Crosby, Adam Brown",Conservative (1867-1942),Nova Scotia,"Borden, Robert Laird",1917.01.20 - 1921.03.10  (Death),1917-01-20 00:00:00,1921-03-10 00:00:00,Death,1510,True
208,"Crothers, Thomas Wilson",Conservative (1867-1942),Ontario,"Meighen, Arthur",1921.10.03 - 1921.12.10  (Death),1921-10-03 00:00:00,1921-12-10 00:00:00,Death,68,True
209,"Crowe, Sanford Johnston",Unionist (Liberal),British Columbia,"Meighen, Arthur",1921.12.01 - 1931.08.23  (Death),1921-12-01 00:00:00,1931-08-23 00:00:00,Death,3552,True
210,"Curry, Nathaniel",Conservative (1867-1942),Nova Scotia,"Borden, Robert Laird",1912.11.20 - 1931.10.23  (Death),1912-11-20 00:00:00,1931-10-23 00:00:00,Death,6911,True
211,"Curry, Rufus",Liberal Party of Canada,Nova Scotia,"Laurier, Wilfrid",1903.03.12 - 1905.03.30  (Resignation),1903-03-12 00:00:00,1905-03-30 00:00:00,Resignation,749,True
212,"Dagenais, Jean-Guy",Conservative Party of Canada,Quebec,"Harper, Stephen",2012.01.17 -,2012-01-17 00:00:00,2013-10-01 22:20:10.165196,,623,False
213,"Daigle, Armand",Liberal Party of Canada,Quebec,"King, William Lyon Mackenzie",1944.03.03 - 1957.03.08  (Death),1944-03-03 00:00:00,1957-03-08 00:00:00,Death,4753,True
214,"Dallaire, Roméo A.",Liberal Party of Canada,Quebec,"Martin, Paul Edgar Philippe",2005.03.24 -,2005-03-24 00:00:00,2013-10-01 22:20:10.165196,,3113,False
215,"Dandurand, Raoul",Liberal Party of Canada,Quebec,"Laurier, Wilfrid",1898.01.22 - 1942.03.11  (Death),1898-01-22 00:00:00,1942-03-11 00:00:00,Death,16118,True
216,"Daniel, John Waterhouse",Conservative (1867-1942),New Brunswick,"Borden, Robert Laird",1912.03.18 - 1933.01.11  (Death),1912-03-18 00:00:00,1933-01-11 00:00:00,Death,7604,True
217,"Davey, Keith Douglas",Liberal Party of Canada,Ontario,"Pearson, Lester Bowles",1966.02.24 - 1996.07.01  (Resignation),1966-02-24 00:00:00,1996-07-01 00:00:00,Resignation,11085,True
218,"David, Laurent-Olivier",Liberal Party of Canada,Quebec,"Laurier, Wilfrid",1903.06.19 - 1926.08.24  (Death),1903-06-19 00:00:00,1926-08-24 00:00:00,Death,8467,True
219,"David, Louis-Athanase",Liberal Party of Canada,Quebec,"King, William Lyon Mackenzie",1940.02.09 - 1953.01.26  (Death),1940-02-09 00:00:00,1953-01-26 00:00:00,Death,4735,True
220,"David, Paul",Progressive Conservative Party,Quebec,"Mulroney, Martin Brian",1985.04.16 - 1994.12.25  (Retirement),1985-04-16 00:00:00,1994-12-25 00:00:00,Retirement,3540,True
221,"Davies, William Rupert",Liberal Party of Canada,Ontario,"King, William Lyon Mackenzie",1942.11.19 - 1967.03.11  (Death),1942-11-19 00:00:00,1967-03-11 00:00:00,Death,8878,True
222,"Davis, John Caswell",Liberal Party of Canada,Manitoba,"St-Laurent, Louis Stephen",1949.01.25 - 1953.10.25  (Death),1949-01-25 00:00:00,1953-10-25 00:00:00,Death,1734,True
223,"Davis, Thomas Osborne",Liberal Party of Canada,Northwest Territories,"Laurier, Wilfrid",1904.09.30 - 1917.01.23  (Death),1904-09-30 00:00:00,1917-01-23 00:00:00,Death,4498,True
224,"Dawson, Dennis",Liberal Party of Canada,Quebec,"Martin, Paul Edgar Philippe",2005.08.02 -,2005-08-02 00:00:00,2013-10-01 22:20:10.165196,,2982,False
225,"Day, Joseph A.",Liberal Party of Canada,New Brunswick,"Chrétien, Joseph Jacques Jean",2001.10.04 -,2001-10-04 00:00:00,2013-10-01 22:20:10.165196,,4380,False
226,"De Bané, Pierre",Liberal Party of Canada,Quebec,"Trudeau, Pierre Elliott",1984.06.29 - 2013.08.02  (Retirement),1984-06-29 00:00:00,2013-08-02 00:00:00,Retirement,10626,True
227,"de Cotret, Robert René",Progressive Conservative Party,Ontario,"Clark, Charles Joseph",1979.06.05 - 1980.01.14  (Resignation),1979-06-05 00:00:00,1980-01-14 00:00:00,Resignation,223,True
228,"De Léry, Alexandre-René Chaussegros",Conservative (1867-1942),Quebec,"Macdonald, John Alexander",1871.12.13 - 1876.04.11  (Resignation),1871-12-13 00:00:00,1876-04-11 00:00:00,Resignation,1581,True
229,"Deblois, Pierre Antoine",Conservative (1867-1942),Quebec,"Macdonald, John Alexander",1883.02.13 - 1898.06.21  (Death),1883-02-13 00:00:00,1898-06-21 00:00:00,Death,5607,True
230,"Déchêne, Alphonse Arthur Miville",Liberal Party of Canada,Quebec,"Laurier, Wilfrid",1901.05.13 - 1902.05.01  (Death),1901-05-13 00:00:00,1902-05-01 00:00:00,Death,353,True
231,"Demers, Jacques",Conservative Party of Canada,Quebec,"Harper, Stephen",2009.08.27 -,2009-08-27 00:00:00,2013-10-01 22:20:10.165196,,1496,False
232,"Denis, Azellus",Liberal Party of Canada,Quebec,"Pearson, Lester Bowles",1964.02.03 - 1991.09.04  (Death),1964-02-03 00:00:00,1991-09-04 00:00:00,Death,10075,True
233,"Dennis, William",Independent Conservative,Nova Scotia,"Borden, Robert Laird",1912.11.20 - 1920.07.11  (Death),1912-11-20 00:00:00,1920-07-11 00:00:00,Death,2790,True
234,"Dennis, William Henry",Conservative (1867-1942),Nova Scotia,"Bennett, Richard Bedford",1932.02.03 - 1954.01.18  (Death),1932-02-03 00:00:00,1954-01-18 00:00:00,Death,8020,True
235,"Derbyshire, Daniel",Liberal Party of Canada,Ontario,"Laurier, Wilfrid",1907.11.22 - 1916.06.18  (Death),1907-11-22 00:00:00,1916-06-18 00:00:00,Death,3131,True
236,"Deschatelets, Jean-Paul",Liberal Party of Canada,Quebec,"Pearson, Lester Bowles",1966.02.24 - 1986.01.10  (Resignation),1966-02-24 00:00:00,1986-01-10 00:00:00,Resignation,7260,True
237,"Desjardins, Alphonse",Conservative (1867-1942),Quebec,"Abbott, John Joseph Caldwell",1892.10.01 - 1896.06.16  (Resignation),1892-10-01 00:00:00,1896-06-16 00:00:00,Resignation,1354,True
238,"Desmarais, Jean Noël",Progressive Conservative Party,Ontario,"Mulroney, Martin Brian",1993.06.04 - 1995.07.25  (Death),1993-06-04 00:00:00,1995-07-25 00:00:00,Death,781,True
239,"Ruck, Calvin Woodrow",Liberal Party of Canada,Nova Scotia,"Chrétien, Joseph Jacques Jean",1998.06.11 - 2000.09.04  (Retirement),1998-06-11 00:00:00,2000-09-04 00:00:00,Retirement,816,True
240,"Runciman, Bob",Conservative Party of Canada,Ontario,"Harper, Stephen",2010.01.29 -,2010-01-29 00:00:00,2013-10-01 22:20:10.165196,,1341,False
241,"Ryan, Thomas",Liberal-Conservative,Quebec,Royal Proclamation,1867.10.23 - 1889.05.25  (Death),1867-10-23 00:00:00,1889-05-25 00:00:00,Death,7885,True
242,"Sanborn, John Sewall",Liberal Party of Canada,Quebec,Royal Proclamation,1867.10.23 - 1872.10.01  (Resignation),1867-10-23 00:00:00,1872-10-01 00:00:00,Resignation,1805,True
243,"Sanford, William Eli",Conservative (1867-1942),Ontario,"Macdonald, John Alexander",1887.02.08 - 1899.07.10  (Death),1887-02-08 00:00:00,1899-07-10 00:00:00,Death,4535,True
244,"Sauvé, Arthur",Conservative (1867-1942),Quebec,"Bennett, Richard Bedford",1935.07.20 - 1944.02.06  (Death),1935-07-20 00:00:00,1944-02-06 00:00:00,Death,3123,True
245,"Savoie, Calixte F.",Independent Liberal,New Brunswick,"St-Laurent, Louis Stephen",1955.07.28 - 1970.08.23  (Resignation),1955-07-28 00:00:00,1970-08-23 00:00:00,Resignation,5505,True
246,"Schaffner, Frederick Laurence",Conservative (1867-1942),Manitoba,"Borden, Robert Laird",1917.10.23 - 1935.05.22  (Death),1917-10-23 00:00:00,1935-05-22 00:00:00,Death,6420,True
247,"Schultz, John Christian",Liberal-Conservative,Manitoba,"Macdonald, John Alexander",1882.09.23 - 1888.07.01  (Resignation),1882-09-23 00:00:00,1888-07-01 00:00:00,Resignation,2108,True
248,"Scott, Richard William",Liberal Party of Canada,Ontario,"Mackenzie, Alexander",1874.03.13 - 1913.04.23  (Death),1874-03-13 00:00:00,1913-04-23 00:00:00,Death,14285,True
249,"Segal, Hugh",Conservative Party of Canada,Ontario,"Martin, Paul Edgar Philippe",2005.08.02 -,2005-08-02 00:00:00,2013-10-01 22:20:10.165196,,2982,False
250,"Seidman, Judith",Conservative Party of Canada,Quebec,"Harper, Stephen",2009.08.27 -,2009-08-27 00:00:00,2013-10-01 22:20:10.165196,,1496,False
251,"Sénécal, Louis Adélard",Conservative (1867-1942),Quebec,"Macdonald, John Alexander",1887.01.25 - 1887.10.11  (Death),1887-01-25 00:00:00,1887-10-11 00:00:00,Death,259,True
252,"Seth, Asha",Conservative Party of Canada,Ontario,"Harper, Stephen",2012.01.06 -,2012-01-06 00:00:00,2013-10-01 22:20:10.165196,,634,False
253,"Setlakwe, Raymond C.",Liberal Party of Canada,Quebec,"Chrétien, Joseph Jacques Jean",2000.06.20 - 2003.07.03  (Retirement),2000-06-20 00:00:00,2003-07-03 00:00:00,Retirement,1108,True
254,"Seymour, Benjamin",Conservative (1867-1942),Ontario,Royal Proclamation,1867.10.23 - 1880.03.23  (Death),1867-10-23 00:00:00,1880-03-23 00:00:00,Death,4535,True
255,"Sharpe, William Henry",Conservative (1867-1942),Manitoba,"Borden, Robert Laird",1916.02.10 - 1942.04.19  (Death),1916-02-10 00:00:00,1942-04-19 00:00:00,Death,9565,True
256,"Shatford, Lytton Wilmot",Conservative (1867-1942),British Columbia,"Borden, Robert Laird",1917.06.26 - 1920.11.08  (Death),1917-06-26 00:00:00,1920-11-08 00:00:00,Death,1231,True
257,"Shaw, James",Conservative (1867-1942),Ontario,Royal Proclamation,1867.10.23 - 1878.02.06  (Death),1867-10-23 00:00:00,1878-02-06 00:00:00,Death,3759,True
258,"Shehyn, Joseph",Liberal Party of Canada,Quebec,"Laurier, Wilfrid",1900.02.05 - 1918.07.14  (Death),1900-02-05 00:00:00,1918-07-14 00:00:00,Death,6733,True
259,"Sherwood, Cyril Beverly",Progressive Conservative Party,New Brunswick,"Clark, Charles Joseph",1979.10.03 - 1990.07.01  (Retirement),1979-10-03 00:00:00,1990-07-01 00:00:00,Retirement,3924,True
260,"Sibbeston, Nick G.",Liberal Party of Canada,Northwest Territories,"Chrétien, Joseph Jacques Jean",1999.09.02 -,1999-09-02 00:00:00,2013-10-01 22:20:10.165196,,5143,False
261,"Simard, Jean-Maurice",Progressive Conservative Party,New Brunswick,"Mulroney, Martin Brian",1985.06.26 - 2001.06.16  (Death),1985-06-26 00:00:00,2001-06-16 00:00:00,Death,5834,True
262,"Simpson, John",Liberal Party of Canada,Ontario,Royal Proclamation,1867.10.23 - 1885.03.21  (Death),1867-10-23 00:00:00,1885-03-21 00:00:00,Death,6359,True
263,"Sinclair, Ian David",Liberal Party of Canada,Ontario,"Trudeau, Pierre Elliott",1983.12.23 - 1988.09.27  (Retirement),1983-12-23 00:00:00,1988-09-27 00:00:00,Retirement,1740,True
264,"Sinclair, John Ewen",Liberal Party of Canada,Prince Edward Island,"King, William Lyon Mackenzie",1930.06.07 - 1949.12.23  (Death),1930-06-07 00:00:00,1949-12-23 00:00:00,Death,7139,True
265,"Skead, James",Conservative (1867-1942),Ontario,Royal Proclamation,1867.10.23 - 1881.01.20  (Resignation),1867-10-23 00:00:00,1881-01-20 00:00:00,Resignation,4838,True
266,"Skead, James",Conservative (1867-1942),Ontario,"Macdonald, John Alexander",1881.12.24 - 1884.07.05  (Death),1881-12-24 00:00:00,1884-07-05 00:00:00,Death,924,True
267,"Smith, Benjamin Franklin",Conservative (1867-1942),New Brunswick,"Bennett, Richard Bedford",1935.08.14 - 1944.05.20  (Death),1935-08-14 00:00:00,1944-05-20 00:00:00,Death,3202,True
268,"Smith, David P.",Liberal Party of Canada,Ontario,"Chrétien, Joseph Jacques Jean",2002.06.25 -,2002-06-25 00:00:00,2013-10-01 22:20:10.165196,,4116,False
269,"Smith, Donald",Liberal Party of Canada,Nova Scotia,"St-Laurent, Louis Stephen",1955.07.28 - 1980.07.07  (Resignation),1955-07-28 00:00:00,1980-07-07 00:00:00,Resignation,9111,True
270,"Smith, Ernest D'Israeli",Conservative (1867-1942),Ontario,"Borden, Robert Laird",1913.05.26 - 1946.01.10  (Resignation),1913-05-26 00:00:00,1946-01-10 00:00:00,Resignation,11917,True
271,"Smith, Frank",Conservative (1867-1942),Ontario,"Macdonald, John Alexander",1871.02.02 - 1900.01.01  (Resignation),1871-02-02 00:00:00,1900-01-01 00:00:00,Resignation,10560,True
272,"Smith, George Isaac",Progressive Conservative Party,Nova Scotia,"Trudeau, Pierre Elliott",1975.08.07 - 1982.12.19  (Death),1975-08-07 00:00:00,1982-12-19 00:00:00,Death,2691,True
273,"Smith, Larry",Conservative Party of Canada,Quebec,"Harper, Stephen",2011.05.25 -,2011-05-25 00:00:00,2013-10-01 22:20:10.165196,,860,False
274,"Smith, Larry",Conservative Party of Canada,Quebec,"Harper, Stephen",2010.12.18 - 2011.03.25  (Resignation),2010-12-18 00:00:00,2011-03-25 00:00:00,Resignation,97,True
275,"Smith, Sydney John",Liberal Party of Canada,British Columbia,"St-Laurent, Louis Stephen",1957.01.03 - 1968.12.31  (Resignation),1957-01-03 00:00:00,1968-12-31 00:00:00,Resignation,4380,True
276,"Snowball, Jabez Bunting",Liberal Party of Canada,New Brunswick,"Macdonald, John Alexander",1891.05.01 - 1902.02.01  (Resignation),1891-05-01 00:00:00,1902-02-01 00:00:00,Resignation,3928,True
277,"Sparrow, Herbert O.",Liberal Party of Canada,Saskatchewan,"Pearson, Lester Bowles",1968.02.09 - 2005.01.04  (Retirement),1968-02-09 00:00:00,2005-01-04 00:00:00,Retirement,13479,True
278,"Spence, James Houston",Liberal Party of Canada,Ontario,"King, William Lyon Mackenzie",1928.01.10 - 1939.02.21  (Death),1928-01-10 00:00:00,1939-02-21 00:00:00,Death,4060,True
279,"Spivak, Mira",Progressive Conservative Party,Manitoba,"Mulroney, Martin Brian",1986.11.17 - 2009.07.12  (Retirement),1986-11-17 00:00:00,2009-07-12 00:00:00,Retirement,8273,True
280,"Sproule, Thomas Simpson",Conservative (1867-1942),Ontario,"Borden, Robert Laird",1915.12.03 - 1917.11.10  (Death),1915-12-03 00:00:00,1917-11-10 00:00:00,Death,708,True
